"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Hazy_Localization.txt:1","はい","Yes","confirm_yes","False","","",""
"Hazy_Localization.txt:2","いいえ","No","confirm_no","False","","",""
"Hazy_Localization.txt:3","AUTO","Auto","game_btn_auto","False","","",""
"Hazy_Localization.txt:4","AUTOボタン表示","Auto Button Display","menu_btn_auto","False","","",""
"Hazy_Localization.txt:5","人物リスト","Persons of Interest","menu_btn_charalist","False","","",""
"Hazy_Localization.txt:6","資料","Files","menu_btn_doclist","False","","",""
"Hazy_Localization.txt:7","ストーリーチャート","Story Chart","menu_btn_storychart","False","","",""
"Hazy_Localization.txt:8","セーブ","Save","menu_btn_save","False","","",""
"Hazy_Localization.txt:9","ロード","Load","menu_btn_load","False","","",""
"Hazy_Localization.txt:10","オプション","Options","menu_btn_option","False","","",""
"Hazy_Localization.txt:11","ゲーム終了","Quit Game","menu_btn_end","False","","",""
"Hazy_Localization.txt:12","人物リスト","Persons of Interest","charalist_title","False","","",""
"Hazy_Localization.txt:13","資料","Files","doclist_title","False","","",""
"Hazy_Localization.txt:14","新着","New","doclist_cate_new","False","","",""
"Hazy_Localization.txt:15","ALL","All","doclist_cate_all","False","","",""
"Hazy_Localization.txt:16","文化/社会","Culture/Society","doclist_cate_calture","False","","",""
"Hazy_Localization.txt:17","本所七不思議","Seven Mysteries","doclist_cate_sevenwonder","False","","",""
"Hazy_Localization.txt:18","超常/呪詛","Phenomena/<br>Curses","doclist_cate_curse","False","","",""
"Hazy_Localization.txt:19","攻略情報","Gameplay Guide","doclist_cate_other","False","","",""
"Hazy_Localization.txt:20","更新された資料はありません","No updated files","doclist_nothing_message","False","","",""
"Hazy_Localization.txt:21","セーブ","Save","save_title","False","","",""
"Hazy_Localization.txt:22","セーブするスロットを選んでください","Select a save slot","save_subtitle","False","","",""
"Hazy_Localization.txt:23","スロット{0}に 上書きいたしますか？","Do you wish to overwrite slot {0}?","save_message","False","","",""
"Hazy_Localization.txt:24","ロード","Load","load_title","False","","",""
"Hazy_Localization.txt:25","ロードするスロットを選んでください","Select a slot to load","load_subtitle","False","","",""
"Hazy_Localization.txt:26","スロット{0}を ロードいたしますか？","Do you wish to load slot {0}?","load_message","False","","",""
"Hazy_Localization.txt:27","オートセーブ","Autosave","save_autosave","False","","",""
